City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
356,neijiang,29.5835,29.5835,24.62,95,100,3.21,CN,1690433710
357,santana,-0.0583,-0.0583,25.1,100,40,2.57,BR,1690433655
358,salanso,12.1833,12.1833,26.11,73,93,2.72,BF,1690433710
359,kapit,2.0167,2.0167,35.92,40,43,1.44,MY,1690433710
360,shar'ya,58.3686,58.3686,19.16,96,80,3.84,RU,1690433711
361,birjand,32.8663,32.8663,29.26,24,0,5.14,IR,1690433711
362,saint-pierre,-21.3393,-21.3393,22.54,68,93,2.06,RE,1690433609
363,machico,32.7,32.7,21.51,77,20,3.09,PT,1690433711
364,san andres,12.5847,12.5847,29.01,84,20,5.66,CO,1690433711
365,bezenchuk,52.982,52.982,29.48,38,8,4.84,RU,1690433712
366,bunumbu,8.1667,8.1667,22.45,100,93,0.48,SL,1690433712
367,xam nua,20.4197,20.4197,33.37,39,90,2.09,LA,1690433712
368,ghat,24.9647,24.9647,28.64,12,2,0.23,LY,1690433712
369,trifesti,47.45,47.45,17.82,85,100,8.74,RO,1690433713
370,geraldton,-28.7667,-28.7667,16.23,77,100,5.66,AU,1690433442
371,araguaina,-7.1911,-7.1911,22.6,46,0,2.04,BR,1690433713
372,kimbe,-5.5502,-5.5502,29.76,67,89,4.55,PG,1690433589
373,laguna,38.421,38.421,26.41,53,0,3.6,US,1690433595
374,sovetskaya gavan',48.9723,48.9723,22.42,72,61,1.39,RU,1690433714
375,banff,51.1762,51.1762,15.57,44,10,1.03,CA,1690433714
376,juegang,32.3174,32.3174,31.06,74,39,6.43,CN,1690433714
377,talara,-4.5772,-4.5772,21.49,84,7,6.11,PE,1690433715
378,rabo de peixe,37.8,37.8,20.73,88,20,3.6,PT,1690433715
379,port augusta,-32.5,-32.5,18.09,46,89,3.93,AU,1690433715
380,north bondi,-33.8824,-33.8824,22.34,63,0,3.09,AU,1690433715
381,utrik,11.2278,11.2278,27.89,81,100,7.73,MH,1690433548
382,nelson bay,-32.7167,-32.7167,20.03,70,0,1.34,AU,1690433561
383,ketchikan,55.3422,55.3422,17.26,77,100,1.54,US,1690433309
384,piedecuesta,6.9879,6.9879,21.62,91,95,1.35,CO,1690433716
385,serenje,-13.2325,-13.2325,9.33,95,17,1.83,ZM,1690433716
386,hithadhoo,-0.6,-0.6,28.38,78,29,6.85,MV,1690433295
387,freeport,40.6576,40.6576,25.77,88,0,6.69,US,1690433430
388,belomorsk,64.5232,64.5232,15.79,77,8,0.73,RU,1690433717
389,mae chai,19.346,19.346,34.25,46,34,2.49,TH,1690433717
390,jiangyou,31.7667,31.7667,23.27,94,100,2.52,CN,1690433717
391,port alfred,-33.5906,-33.5906,15.42,86,55,8.75,ZA,1690433551
392,vallenar,-28.5708,-28.5708,14.96,72,100,1.63,CL,1690433718
393,nuuk,64.1835,64.1835,7.34,87,100,1.54,GL,1690433651
394,lompoc,34.6391,34.6391,16.08,95,100,4.63,US,1690433369
395,sitka,57.0531,57.0531,15.94,82,100,0.0,US,1690433394
396,bairnsdale,-37.8333,-37.8333,16.14,57,0,1.79,AU,1690433718
397,ceres,37.5949,37.5949,28.97,40,0,4.63,US,1690433650
398,debesy,57.6529,57.6529,22.65,68,92,4.59,RU,1690433719
399,boundiali,9.5217,9.5217,21.51,97,78,2.02,CI,1690433719
400,port saint john's,-31.6229,-31.6229,17.77,70,76,2.03,ZA,1690433562
401,ad dawadimi,24.5077,24.5077,29.64,10,62,3.68,SA,1690433719
402,sao gabriel da cachoeira,-0.1303,-0.1303,22.6,95,85,0.56,BR,1690433598
403,ciudad general teran,25.2667,25.2667,27.19,59,0,6.87,MX,1690433720
404,lazaro cardenas,17.9583,17.9583,27.36,80,83,2.31,MX,1690433698
405,nova sintra,14.8667,14.8667,22.96,85,77,6.94,CV,1690433566
406,grahamstown,-33.3042,-33.3042,10.41,93,75,4.46,ZA,1690433720
407,opuwo,-18.0607,-18.0607,13.74,44,3,1.34,NA,1690433439
408,yuzhno-kurilsk,44.0306,44.0306,22.28,80,98,1.28,RU,1690433565
409,toliara,-23.35,-23.35,17.99,54,0,6.27,MG,1690433721
410,jaguey grande,22.5269,22.5269,25.02,91,46,2.73,CU,1690433721
411,al mindak,20.1588,20.1588,25.78,15,77,3.96,SA,1690433721
412,tepeaca,18.9667,18.9667,13.2,82,93,2.27,MX,1690433721
413,almazan,41.4865,41.4865,14.27,67,0,1.94,ES,1690433722
414,namibe,-15.1961,-15.1961,14.92,90,70,2.35,AO,1690433694
415,arraial do cabo,-22.9661,-22.9661,20.96,90,54,9.78,BR,1690433602
416,kalmunai,7.4167,7.4167,31.95,53,100,1.23,LK,1690433343
417,buka,40.8108,40.8108,38.92,10,2,4.37,UZ,1690433455
418,vryburg,-26.9566,-26.9566,9.2,73,1,4.67,ZA,1690433723
419,katiola,8.1333,8.1333,24.35,99,84,2.13,CI,1690433723
420,mandsaur,24.0667,24.0667,29.45,73,100,5.79,IN,1690433723
421,muynoq,43.7683,43.7683,30.4,38,91,2.83,UZ,1690433723
422,yung shue wan,22.2333,22.2333,36.56,58,38,3.35,HK,1690433724
423,yima,34.7381,34.7381,31.5,48,100,4.61,CN,1690433724
424,panshan,41.1881,41.1881,30.79,60,51,8.15,CN,1690433724
425,caibarien,22.5206,22.5206,26.62,83,82,5.43,CU,1690433566
426,taoudenni,22.6783,22.6783,35.59,30,55,3.46,ML,1690433306
427,sorong,-0.8833,-0.8833,28.81,74,36,6.41,ID,1690433725
428,mikkeli,61.6886,61.6886,18.41,82,0,0.51,FI,1690433725
429,naze,28.3667,28.3667,24.51,80,100,6.65,JP,1690433448
430,kavaratti,10.5669,10.5669,28.43,73,100,5.81,IN,1690433725
431,mount gambier,-37.8333,-37.8333,16.27,57,57,4.73,AU,1690433725
432,mountain home,43.133,43.133,26.71,26,0,3.6,US,1690433726
433,malkara,40.89,40.89,22.68,59,88,7.17,TR,1690433726
434,muroto-misakicho,33.2833,33.2833,28.8,72,88,1.36,JP,1690433726
435,tazacorte,28.629,28.629,21.54,86,75,4.12,ES,1690433577
436,marks,51.7111,51.7111,27.83,44,4,2.45,RU,1690433727
437,brandon,27.9378,27.9378,27.95,86,0,1.54,US,1690433692
438,aasiaat,68.7098,68.7098,2.76,95,28,4.37,GL,1690433546
439,east london,-33.0153,-33.0153,15.52,77,0,4.63,ZA,1690433554
440,newman,37.3138,37.3138,29.13,49,0,2.74,US,1690433539
441,ust-nera,64.5667,64.5667,14.5,54,95,3.45,RU,1690433553
442,mumbwa,-14.9783,-14.9783,12.59,83,0,3.2,ZM,1690433728
443,sibut,5.718,5.718,20.64,97,99,0.67,CF,1690433728
444,ostersund,63.1792,63.1792,12.01,35,40,1.03,SE,1690433726
445,alaghsas,17.0187,17.0187,30.45,45,91,5.95,NE,1690433728
446,chimoio,-19.1164,-19.1164,11.92,87,20,0.72,MZ,1690433729
447,qamdo,31.1667,31.1667,12.81,44,98,2.26,CN,1690433605
448,fonte boa,-2.4959,-2.4959,26.3,72,76,0.66,BR,1690433729
449,medyn',54.9692,54.9692,15.94,90,60,0.97,RU,1690433729
450,saudarkrokur,65.7461,65.7461,7.39,89,12,1.94,IS,1690433730
451,mahriz,31.5917,31.5917,29.28,9,69,2.14,IR,1690433730
452,north logan,41.7694,41.7694,28.08,31,0,3.09,US,1690433730
453,boa vista,2.8197,2.8197,23.99,94,20,1.54,BR,1690433730
454,tofol,5.3248,5.3248,28.52,72,100,2.17,FM,1690433528
455,lazarevskoye,43.9061,43.9061,27.06,64,0,0.46,RU,1690433731
456,hadibu,12.65,12.65,26.08,72,75,15.6,YE,1690433563
457,los andes,-32.8337,-32.8337,8.89,34,100,1.81,CL,1690433547
458,kiiminki,65.1314,65.1314,17.03,100,72,1.27,FI,1690433731
459,skoghall,59.3232,59.3232,12.31,94,100,3.09,SE,1690433732
460,tibanbang,6.6315,6.6315,28.64,73,98,3.93,PH,1690433732
461,rudnichnyy,59.617,59.617,17.4,81,100,3.63,RU,1690433732
462,grudki,53.0949,53.0949,13.34,93,100,4.04,PL,1690433732
463,buala,-8.145,-8.145,26.19,88,100,3.75,SB,1690433733
464,nhamunda,-2.1861,-2.1861,24.64,62,4,1.01,BR,1690433733
465,san luis de la loma,17.2706,17.2706,26.89,83,70,2.02,MX,1690433556
466,tokar,18.4254,18.4254,32.65,46,19,16.76,SD,1690433733
467,dudinka,69.4058,69.4058,27.57,50,75,2.82,RU,1690433560
468,birni n konni,13.7956,13.7956,28.67,65,100,7.98,NE,1690433734
469,mil'kovo,55.6078,55.6078,18.08,72,62,0.94,RU,1690433734
470,gulf shores,30.246,30.246,28.89,76,0,0.0,US,1690433734
471,languyan,5.2618,5.2618,29.08,76,96,6.57,PH,1690433734
472,skeldon,5.8833,5.8833,24.25,94,12,1.85,GY,1690433734
473,nantucket,41.2835,41.2835,23.89,97,10,6.99,US,1690433558
474,manokwari,-0.8667,-0.8667,28.41,74,43,2.94,ID,1690433735
475,kiama,-34.6833,-34.6833,21.43,65,0,4.02,AU,1690433735
476,richards bay,-28.783,-28.783,16.05,71,0,4.28,ZA,1690433703
477,ust'-kulom,61.6864,61.6864,18.71,61,99,3.79,RU,1690433735
478,kayangel,8.0823,8.0823,26.25,87,100,12.51,PW,1690433561
479,inirida,3.8653,3.8653,23.41,92,76,0.63,CO,1690433736
480,nagqu,31.5,31.5,6.75,85,100,2.39,CN,1690433736
